education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major,country,depression_total_score,anxiety_total_score,stress_total_score
3,2,2,2,24,1,10,1,10,2,1,2,Geography and Development,BN,26,24,23
2,4,2,1,45,1,10,1,10,2,2,4,,MY,16,17,21
1,3,1,2,17,1,2,1,60,2,1,3,,PL,36,36,33
3,3,2,2,34,3,12,5,60,1,1,3,English,BR,49,44,47
3,2,1,2,23,2,2,1,60,2,1,1,Sociology,DE,23,21,18
3,3,2,2,20,1,10,1,10,2,1,4,Architecture,MY,34,28,31
3,3,2,2,22,1,10,1,10,1,1,6,Computer Science,MY,53,48,47
3,1,2,2,21,1,10,2,10,2,1,5,Real estate,MY,42,41,41
3,3,2,2,21,1,10,3,10,2,1,3,Health science,MY,47,43,47
3,1,2,1,28,1,1,2,60,2,2,2,Forensics,US,47,45,50
3,1,2,2,21,1,10,1,10,2,1,7,Bio Engineering ,MY,37,34,36
3,2,2,2,22,1,10,1,10,2,1,5,Actuarial Science,MY,43,33,36
3,3,1,2,22,1,10,1,10,2,1,3,Engineering,MY,34,24,30
2,2,2,1,23,2,10,1,10,2,1,3,,MY,36,34,36
2,1,2,1,19,1,12,3,50,2,1,2,,CA,23,20,28
4,1,2,1,49,1,6,1,60,1,2,2,,AU,27,22,26
4,1,2,2,29,1,10,1,10,1,1,5,Architecture,MY,27,27,26
2,1,2,1,25,3,1,2,60,1,1,1,,US,44,43,48
3,3,2,2,22,1,10,1,70,2,1,2,Retail Management,MY,32,24,31
3,3,2,2,20,1,10,3,70,2,1,4,Geoinformatic Engineering ,MY,37,35,36
2,3,2,2,23,1,10,1,70,1,1,3,,MY,25,26,35
3,1,1,1,41,1,12,1,60,1,2,2,psychology,CA,33,26,32
2,2,1,2,19,1,1,2,30,2,1,2,,NL,38,40,41
1,3,1,2,16,1,5,1,60,2,1,2,,FR,39,37,33
3,3,2,2,20,1,10,1,10,2,1,5,Biology,MY,34,32,41
3,3,2,2,24,1,10,1,70,1,1,5,Medicine,MY,45,41,49
2,2,2,2,26,2,10,5,10,1,2,9,,MY,40,43,42
3,1,2,2,16,1,10,5,10,2,1,16,psychology,MY,34,31,34
3,3,2,2,19,1,10,1,10,2,1,7,Accounting,MY,20,17,22
2,1,2,1,58,1,7,1,60,1,3,3,,US,23,20,20
1,2,2,2,16,1,10,1,10,2,1,6,,MY,26,27,28
4,1,2,2,25,1,10,1,10,1,1,7,English,MY,34,29,27
3,2,2,2,20,1,10,4,10,2,1,4,Fashion,MY,49,43,45
2,3,3,1,17,2,12,5,60,2,1,2,,US,47,46,50
3,1,2,2,29,1,7,1,10,2,1,5,,ID,34,31,33
2,1,2,1,35,1,2,1,60,1,2,1,,AU,39,27,32
4,3,2,2,20,1,10,4,10,2,1,4,psychology,AU,39,41,42
3,2,1,2,23,1,10,1,10,1,1,3,Chemical engineering ,MY,41,37,36
3,3,2,1,19,1,12,1,60,1,1,3,Computer Science/Math,US,27,22,23
3,1,2,2,32,1,10,1,10,1,2,6,Nursing,MY,20,18,19
3,3,1,1,32,0,10,1,10,1,1,6,Information technology,MY,46,51,50
3,2,2,1,20,2,10,4,70,2,1,5,Nursing,MY,20,18,23
